id	message
CHAT_WRITE_FORBIDDEN	You don't have rights to send messages in this chat
RIGHT_FORBIDDEN	You don't have enough rights for this action, or you tried to set one or more admin rights that can't be applied to this kind of chat (channel or supergroup)
CHAT_ADMIN_INVITE_REQUIRED	You don't have rights to invite other users
MESSAGE_DELETE_FORBIDDEN	You don't have rights to delete messages in this chat, most likely because you are not the author of them
CHAT_SEND_MEDIA_FORBIDDEN	You can't send media messages in this chat
MESSAGE_AUTHOR_REQUIRED	You are not the author of this message
BROADCAST_FORBIDDEN	The request can't be used in channels
CHANNEL_PUBLIC_GROUP_NA	The channel/supergroup is not available
CHAT_FORBIDDEN	You cannot write in this chat
CHAT_SEND_GIFS_FORBIDDEN	You can't send animations in this chat
CHAT_SEND_STICKERS_FORBIDDEN	You can't send stickers in this chat
INLINE_BOT_REQUIRED	The action must be performed through an inline bot callback
SENSITIVE_CHANGE_FORBIDDEN	Your sensitive content settings can't be changed at this time
USER_BOT_INVALID	This method can only be called by a bot
USER_CHANNELS_TOO_MUCH	One of the users you tried to add is already in too many channels/supergroups
USER_IS_BLOCKED	The user is blocked
USER_NOT_MUTUAL_CONTACT	The provided user is not a mutual contact
USER_PRIVACY_RESTRICTED	The user's privacy settings is preventing you to perform this action
USER_RESTRICTED	You are limited/restricted. You can't perform this action.
